39,75.31494,77516,2.53667,13,65.14102,48.29244,62.34445,40.82922,75.75755,2174,0,40,101.28616,0
50,102.63071,83311,2.53667,13,29.94565,69.449,0.00284,40.82922,75.75755,0,0,13,101.28616,0
38,59.21727,215646,77.62715,9,24.07348,55.73805,62.34445,40.82922,75.75755,0,0,40,101.28616,0
53,59.21727,234721,83.75731,7,29.94565,55.73805,0.00284,12.91675,75.75755,0,0,40,101.28616,0
28,59.21727,338409,2.53667,13,29.94565,70.54472,19.08505,12.91675,17.62992,0,0,40,106.04425,0
37,59.21727,284582,91.81189,14,29.94565,69.449,19.08505,40.82922,17.62992,0,0,40,101.28616,0
49,59.21727,160187,2.261,5,3.84018,22.96235,62.34445,12.91675,17.62992,0,0,16,72.62377,0
52,102.63071,209642,77.62715,9,29.94565,69.449,0.00284,40.82922,75.75755,0,0,45,101.28616,1
31,59.21727,45781,91.81189,14,65.14102,70.54472,62.34445,40.82922,17.62992,14084,0,50,101.28616,1
42,59.21727,159449,2.53667,13,29.94565,69.449,0.00284,40.82922,75.75755,5178,0,40,101.28616,1
37,59.21727,280464,33.84457,10,29.94565,69.449,0.00284,12.91675,75.75755,0,0,80,101.28616,1
30,75.31494,141297,2.53667,13,29.94565,70.54472,0.00284,93.97203,75.75755,0,0,40,40.10014,1
23,59.21727,122272,2.53667,13,65.14102,48.29244,75.54374,40.82922,17.62992,0,0,30,101.28616,0
32,59.21727,205019,6.68907,12,65.14102,93.00907,62.34445,12.91675,75.75755,0,0,50,101.28616,0
34,59.21727,245487,89.82843,4,29.94565,54.92552,0.00284,107.92672,75.75755,0,0,45,6.24442,0
25,102.63071,176756,77.62715,9,65.14102,58.60656,75.54374,40.82922,75.75755,0,0,35,101.28616,0
32,59.21727,186824,77.62715,9,65.14102,88.90465,85.08993,40.82922,75.75755,0,0,40,101.28616,0
38,59.21727,28887,83.75731,7,29.94565,93.00907,0.00284,40.82922,75.75755,0,0,50,101.28616,0
43,102.63071,292175,91.81189,14,24.07348,69.449,85.08993,40.82922,17.62992,0,0,45,101.28616,1
40,59.21727,193524,42.05643,16,29.94565,70.54472,0.00284,40.82922,75.75755,0,0,60,101.28616,1
54,59.21727,302146,77.62715,9,54.48241,22.96235,85.08993,12.91675,17.62992,0,0,20,101.28616,0
35,37.05382,76845,2.261,5,29.94565,58.60656,0.00284,12.91675,75.75755,0,0,40,101.28616,0
43,59.21727,117037,83.75731,7,29.94565,54.92552,0.00284,40.82922,75.75755,0,2042,40,101.28616,0
59,59.21727,109015,77.62715,9,24.07348,93.3206,85.08993,40.82922,17.62992,0,0,40,101.28616,0
56,54.072,216851,2.53667,13,29.94565,93.3206,0.00284,40.82922,75.75755,0,0,40,101.28616,1
19,59.21727,168294,77.62715,9,65.14102,49.43765,75.54374,40.82922,75.75755,0,0,40,101.28616,0
39,59.21727,367260,77.62715,9,24.07348,69.449,62.34445,40.82922,75.75755,0,0,80,101.28616,0
49,59.21727,193366,77.62715,9,29.94565,49.43765,0.00284,40.82922,75.75755,0,0,40,101.28616,0
23,54.072,190709,6.68907,12,65.14102,79.41504,62.34445,40.82922,75.75755,0,0,52,101.28616,0
20,59.21727,266015,33.84457,10,65.14102,93.00907,75.54374,12.91675,75.75755,0,0,44,101.28616,0
45,59.21727,386940,2.53667,13,24.07348,69.449,75.54374,40.82922,75.75755,0,1408,40,101.28616,0
30,37.05382,59951,33.84457,10,29.94565,48.29244,75.54374,40.82922,75.75755,0,0,40,101.28616,0
22,75.31494,311512,33.84457,10,29.94565,22.96235,0.00284,12.91675,75.75755,0,0,15,101.28616,0
